
Fetching 13 files:   0%|          | 0/13 [00:00<?, ?it/s]
Fetching 13 files: 100%|██████████| 13/13 [00:00<00:00, 4009.85it/s]

Fetching 100 files:   0%|          | 0/100 [00:00<?, ?it/s]
Fetching 100 files:  86%|████████▌ | 86/100 [00:00<00:00, 852.73it/s]
Fetching 100 files: 100%|██████████| 100/100 [00:00<00:00, 868.12it/s]
/home/ayush/side-projects/autoresearch/.venv/lib/python3.10/site-packages/torchvision/io/_video_deprecation_warning.py:9: UserWarning: The video decoding and encoding capabilities of torchvision are deprecated from version 0.22 and will be removed in version 0.24. We recommend that you migrate to TorchCodec, where we'll consolidate the future decoding/encoding capabilities of PyTorch: https://github.com/pytorch/torchcodec
  warnings.warn(
Model config: {'max_seq_len': 1024, 'smolvlm_model_id': 'HuggingFaceTB/SmolVLM2-500M-Video-Instruct', 'backbone_dtype': 'bfloat16', 'backbone_hidden_size': 960, 'max_context_tokens': 512, 'frame_mean': (0.437234491109848, 0.4635244309902191, 0.3869882822036743), 'frame_std': (0.03531140089035034, 0.02929818257689476, 0.06434917449951172), 'action_vocab_size': 1797, 'history_frames': 1, 'use_state': True, 'state_dim': 6, 'use_past_actions': True, 'past_action_token_count': 7, 'action_dim': 7, 'action_chunk_size': 4, 'waypoint_dim': 0, 'n_layer': 6, 'n_head': 8, 'n_embd': 512, 'mlp_ratio': 4.0, 'dropout': 0.0}
Train windows: 56,471
Val windows:   6,131
Device: cuda
Time budget: 300s
Gradient accumulation steps: 1
Caching backbone features...
Cached 56464 windows in 264.3s (6.9 GB)

step 00074 (0.3%) | loss: 5.8353 | action_ce: 5.8353 | waypoint: 0.0000 | lr_mult: 0.07 | dt: 15ms | win/sec: 1059.0 | epoch: 1 | remaining: 299s    
step 00075 (0.3%) | loss: 5.8231 | action_ce: 5.8231 | waypoint: 0.0000 | lr_mult: 0.07 | dt: 13ms | win/sec: 1211.3 | epoch: 1 | remaining: 299s    
step 00076 (0.3%) | loss: 5.8336 | action_ce: 5.8336 | waypoint: 0.0000 | lr_mult: 0.07 | dt: 15ms | win/sec: 1051.3 | epoch: 1 | remaining: 299s    
step 00077 (0.3%) | loss: 5.8042 | action_ce: 5.8042 | waypoint: 0.0000 | lr_mult: 0.07 | dt: 11ms | win/sec: 1394.6 | epoch: 1 | remaining: 299s    
step 00078 (0.4%) | loss: 5.7690 | action_ce: 5.7690 | waypoint: 0.0000 | lr_mult: 0.07 | dt: 12ms | win/sec: 1313.6 | epoch: 1 | remaining: 299s    
step 00079 (0.4%) | loss: 5.7247 | action_ce: 5.7247 | waypoint: 0.0000 | lr_mult: 0.07 | dt: 10ms | win/sec: 1595.5 | epoch: 1 | remaining: 299s    
step 00080 (0.4%) | loss: 5.6809 | action_ce: 5.6809 | waypoint: 0.0000 | lr_mult: 0.07 | dt: 11ms | win/sec: 1420.1 | epoch: 1 | remaining: 299s    
step 00081 (0.4%) | loss: 5.6500 | action_ce: 5.6500 | waypoint: 0.0000 | lr_mult: 0.07 | dt: 11ms | win/sec: 1400.1 | epoch: 1 | remaining: 299s    
step 00082 (0.4%) | loss: 5.6221 | action_ce: 5.6221 | waypoint: 0.0000 | lr_mult: 0.07 | dt: 18ms | win/sec: 899.1 | epoch: 1 | remaining: 299s    
step 00083 (0.4%) | loss: 5.5895 | action_ce: 5.5895 | waypoint: 0.0000 | lr_mult: 0.07 | dt: 13ms | win/sec: 1216.6 | epoch: 1 | remaining: 299s    
step 00084 (0.4%) | loss: 5.5683 | action_ce: 5.5683 | waypoint: 0.0000 | lr_mult: 0.08 | dt: 14ms | win/sec: 1122.9 | epoch: 1 | remaining: 299s    
step 00085 (0.4%) | loss: 5.5406 | action_ce: 5.5406 | waypoint: 0.0000 | lr_mult: 0.08 | dt: 10ms | win/sec: 1599.5 | epoch: 1 | remaining: 299s    
step 00086 (0.4%) | loss: 5.5209 | action_ce: 5.5209 | waypoint: 0.0000 | lr_mult: 0.08 | dt: 18ms | win/sec: 904.5 | epoch: 1 | remaining: 299s    
step 00087 (0.4%) | loss: 5.4937 | action_ce: 5.4937 | waypoint: 0.0000 | lr_mult: 0.08 | dt: 22ms | win/sec: 713.9 | epoch: 1 | remaining: 299s    
step 00088 (0.4%) | loss: 5.4361 | action_ce: 5.4361 | waypoint: 0.0000 | lr_mult: 0.08 | dt: 13ms | win/sec: 1247.4 | epoch: 1 | remaining: 299s    
step 00089 (0.4%) | loss: 5.4015 | action_ce: 5.4015 | waypoint: 0.0000 | lr_mult: 0.08 | dt: 12ms | win/sec: 1287.5 | epoch: 1 | remaining: 299s    
step 00090 (0.4%) | loss: 5.3812 | action_ce: 5.3812 | waypoint: 0.0000 | lr_mult: 0.08 | dt: 10ms | win/sec: 1563.7 | epoch: 1 | remaining: 299s    
step 00091 (0.4%) | loss: 5.3703 | action_ce: 5.3703 | waypoint: 0.0000 | lr_mult: 0.08 | dt: 14ms | win/sec: 1162.9 | epoch: 1 | remaining: 299s    
step 00092 (0.4%) | loss: 5.3474 | action_ce: 5.3474 | waypoint: 0.0000 | lr_mult: 0.08 | dt: 20ms | win/sec: 794.9 | epoch: 1 | remaining: 299s    
step 00093 (0.4%) | loss: 5.3278 | action_ce: 5.3278 | waypoint: 0.0000 | lr_mult: 0.08 | dt: 13ms | win/sec: 1223.1 | epoch: 1 | remaining: 299s    
step 00094 (0.4%) | loss: 5.3142 | action_ce: 5.3142 | waypoint: 0.0000 | lr_mult: 0.09 | dt: 11ms | win/sec: 1450.6 | epoch: 1 | remaining: 299s    
step 00095 (0.4%) | loss: 5.2535 | action_ce: 5.2535 | waypoint: 0.0000 | lr_mult: 0.09 | dt: 10ms | win/sec: 1532.6 | epoch: 1 | remaining: 299s    
step 00096 (0.4%) | loss: 5.2044 | action_ce: 5.2044 | waypoint: 0.0000 | lr_mult: 0.09 | dt: 10ms | win/sec: 1582.5 | epoch: 1 | remaining: 299s    
